SubjectID,researchdate,BrandID,Brand,CategoryDelivery,daily_ots,score,threshold,reason
1585271561336801038,2025-09-10,222393,zewa,Туалетная бумага,106294.336,1.277987,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=4
7576643904375722625,2025-09-11,213474,nike,Обувь,136135.146,1.082544,125754.821374,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=6
5629511854270504897,2025-09-15,197627,adidas,Одежда,185232.271,1.594537,116166.831057,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=7
2882311520272393920,2025-09-17,198484,apple iphone,Смартфоны,225998.304,1.288271,175427.606026,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=4
4764817325728908033,2025-09-17,281079,samsung galaxy,Смартфоны,218697.786,1.43437,152469.548181,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=9
4764817325728908033,2025-09-17,221229,vivo (электроника),Смартфоны,170098.278,1.242614,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=7
7576643904375722625,2025-09-18,213474,nike,Обувь,197363.232,1.569429,125754.821374,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=8
504410216844887574,2025-09-19,209431,kotex,Женская гигиена,133310.185,1.602802,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=5
1585271561336916995,2025-09-21,221942,xiaomi,Смартфоны,157515.632,1.150694,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=16
7576643904375722625,2025-09-21,213474,nike,Обувь,150262.692,1.194886,125754.821374,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=6
1585271561336717022,2025-09-24,206804,haier,Крупная техника,275245.692,3.309307,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=23
1585271561336717022,2025-09-25,206804,haier,Крупная техника,131955.626,1.586516,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=11
4694401212316192064,2025-09-26,198484,apple iphone,Смартфоны,215074.032,1.225999,175427.606026,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=3
4764817325728908033,2025-09-26,207543,huawei,Смартфоны,274299.145,2.003829,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=5
4764817325728908033,2025-09-26,214199,oppo (электроника),Смартфоны,164579.487,1.202297,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=3
4764817325728908033,2025-09-26,218309,sony,Смартфоны,164579.487,1.202297,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=3
4764817325728908033,2025-09-26,216180,redmagic,Смартфоны,164579.487,1.202297,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=3
4764817325728908033,2025-09-26,206402,google pixel,Смартфоны,164579.487,1.069112,153940.392676,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=3
6629305709414973060,2025-09-26,207543,huawei,Смарт-часы и браслеты,91176.976,1.09623,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=4
8872102004503143591,2025-09-28,221942,xiaomi,Смарт-часы и браслеты,108861.78,1.308856,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=4
